"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"1 ","광주남구장학회","행복나눔 장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 12학점 이상 취득하고 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","○ 2024년도 기준 중위소득 100% 이하인 가구※ 직계가족의 3개월 평균국민건강보험료 산정","○ 1인당 100만원※ 생활비 지원","○ 공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자","○ 보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","○ 서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인○ 심사의결 (장학생 선발 심사위원회)○ 최종선정자 발표○ 선발결과 : 개별 안내 및 홈페이지 게시","○ 12명","○ 기술대학○ 2년 미만 교육과정의 각종 학교○ 평생교육법에 의거 설립한 학교○ 최근 2년 남구장학회 장학생으로 선발된 자○ 휴학(등록휴학 포함) / 제적 / 자퇴 / 졸업 등 학기 미등록자※ 자세한 사항 공고 참조","해당없음","○ 장학생 신청서○ 주민등록표등본○ 학생 명의의 가족관계증명서○ 건강보험 자격확인서○ 건강보험료 납부확인서○ 2024년 1학기 성적증명서○ 재학증명서○ 2학기 등록금 납입증명서○ 개인정보 수집·이용·제공 및 조회 동의서○ 통장 사본○ 가정환경 세대구성 관련증명서 (해당자)※ 자세한 사항 공고문 참조","https://namgu.gwangju.kr","2024-09-23","2024-10-11"
"2 ","광주남구장학회","일반장학생","지자체(출자출연기관)","장학금","지역연고","해당없음","해당없음","해당없음","○ 직전학기 12학점 이상 취득하고 성적 평균 3.0 이상인 자 (4.3만점은 2.8이상)","○ 2024년도 기준 중위소득 150% 이하인 가구※ 직계가족의 3개월 평균 국민건강보험료 산정","○ 1인당 100만원※ 등록금 지원","○ 공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자○ 24년 2학기 등록금 납부액이 100만원 이상인 자","○ 공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 있는 자","○ 서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인○ 심사의결 (장학생 선발 심사위원회)○ 최종선정자 발표○ 선발결과 : 개별 안내 및 홈페이지 게시","○ 23명","○ 기술대학○ 2년 미만 교육과정의 각종 학교○ 평생교육법에 의거 설립한 학교○ 최근 2년 남구장학회 장학생으로 선발된 자○ 휴학(등록휴학 포함) / 제적 / 자퇴 / 졸업 등 학기 미등록자※ 자세한 사항 공고 참조","해당없음","○ 장학생 신청서○ 주민등록표등본○ 학생 명의의 가족관계증명서○ 건강보험 자격확인서○ 건강보험료 납부확인서○ 2024년 1학기 성적증명서○ 재학증명서○ 2학기 등록금 납입증명서○ 개인정보 수집·이용·제공 및 조회 동의서○ 통장 사본○ 가정환경 세대구성 관련증명서 (해당자)※ 자세한 사항 공고문 및 홈페이지 참조","https://namgu.gwangju.kr/","2024-09-23","2024-10-11"
"3 ","광주남구장학회","특별장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 직전학기 12학점 이상 취득하고 성적 평균 2.75 이상인 자 (4.3만점은 2.6이상)","○ 2024년도 기준 중위소득 150% 이하인 가구(직계가족의 3개월 평균국민건강보험료 산정)","○ 1인당 100만원○ 생활비 지원","○ 공고일 현재 신청 학생 또는 학생의 부모가 광주광역시 남구에 주민등록상 1년 이상 주소를 두고 이고 유형별 자격과 요건을 충족하는 자○ 3자녀 이상 가구 / 다문화 가구 / 본인 또는 가구원이 장애인인 가구 중 해당자","○ 보호자 또는 본인이 선발 공고일 현재 주민등록상 주소지가 광주광역시 남구로 1년 이상 두고 신청 요건을 갖춘 자","○ 서류심사 (사무국) : 제출서류 신청요건 충족 및 직전학기 성적 등 확인○ 심사의결 (장학생 선발 심사위원회)○ 최종선정자 발표○ 선발결과 : 개별 안내 및 홈페이지 게시","○ 11명","○ 기술대학○ 2년 미만 교육과정의 각족 학교○ 평생교육법에 의거 설립한 학교○ 최근 2년 남구장학회 장학생으로 선발된 자○ 휴학(등록휴학 포함) / 제적 / 자퇴 / 졸업 등 학기 미등록자※ 자세한 사항은 첨부파일 참조","해당없음","○ 장학생 신청서○ 주민등록표등본○ 학생 명의의 가족관계증명서○ 건강보험 자격확인서○ 건강보험료 납부확인서○ 2024년 1학기 성적증명서○ 재학증명서○ 개인정보 수집·이용·제공 및 조회 동의서○ 통장 사본○ 가정환경 세대구성 관련증명서 (해당자)※ 자세한 사항은 첨부파일 참조","https://namgu.gwangju.kr/","2024-09-23","2024-10-11"
"4 ","농파장학회","장학금","기타","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 학업성적이 우수한 자","○ 가정형편이 곤란한 자","※ 기관확인 필요","○ 4년제 국내 국·공립 대학합격자","○ 본적이 경남 출신인 자","○ 본 재단 선발위원회(이사회)에서 선발","○ 약간 명","○ 형제 중 본 장학회에 입회된 자 또는 타 장학회 수혜자○ 한 세대 한 사람만 수혜원칙※ 자세한 사항은 첨부파일 및 홈페이지 참고","○ 출신 고등학교장의 추천","○ 출신고등학교장의 추천서○ 자기 소개서○ 서약서○ 가족관계등록부1통 (학생본인의 본적이 나와있는)○ 수능성적표 첨 (사본가능)○ (추천서 포함)사진 2매(3cm× 4cm)○ 신입생 입학금 및 등록금 납입고지서 영수증사본 1부※ 자세한 사항은 첨부파일 및 홈페이지 참고","http://cafe.daum.net/nongpa","2025-02-05","2025-02-10"
"5 ","재단법인 조준장학재단","장학생","기타","장학금","기타","특정대학","대학4학기/대학5학기","특정학과","○ 학점 4.0/4.3 이상","○ 242학기 학자금 지원구간 5구간 이내","○ 720만원 (생활비/연)","○ 경영학과 3학년 진급예정자 (2025학년도 1학기 기준) 1명○ 군 제대 후 복학생/ 지방 출신자 우대※ 서울대 공고 기준준","해당없음","○ 1차 서류전형/ 2차 면접전형","○ 각 학교당 1명","○ 타 재단 장학금 비수혜자 (국가 및 교내(성적우수)장학금은 제외)","※ 각 학교마다 추천여부부가 상이 할 수 있음","○ 장학생 지원 신청서○ 지도교수 추천서○ 자기소개서○ 성적증명서○ 재학증명서○ 주민등록등본○ 학자금지원구간통지서○ 개인정보수집동의서※ 자세한 사항은 각 학교 장학팀 공지사항 참고","https://www.chojun.kr/","2024-11-13","2024-11-15"
"6 ","(재)인제군장학회","장학생","지자체(출자출연기관)","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","해당없음","해당없음","○ (신입생)최종학력 학과 성적 중 과목별 석차 등급 3등급 이상이 전체 과목의 50% 이상○ (재학생)직전 학년 성적이 3.5점 이상. 각 학기당 12학점 이상(복학생은 직전 학년 2개 학기 평점 평균 3.5점 이상","해당없음","○ 500만원","해당없음","○ 신청일 현재 관내에 주소를 두고 1년 이상 거주하고 있는 군민의 자녀 또는 본인○ 부모 또는 부양사실이 입증되는 보호자 중 한 명 이상이 인제군 관내에 거주 하면서 학업을 위하여 주소지를 이전한 학생","※ 기관확인 필요","※ 기관확인 필요","○ 인제군 인재육성기금 장학금과 중복지원 불가○ 원격대학(사이버대학·방송통신대학)·야간대학·외국대학·학점은행제·전문학교·생활비를 지원받는 특수학교·대학원 제외○ 대학졸업예정자·휴학예정자(복학 시 신청가능) 제외○ 신청 학기 성적으로 기 장학금을 지급받은 이력이 있는 자※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","○ 장학생지원서○ 개인정보 수집 이용제공 및 조회 동의서○ 부 또는 모의 주민등록등본(주소 기록 포함)○ 통장사본○ 가족관계증명서○ (신입생)합격증명서 또는 등록금 납부확인서·성적 입증 가능 서류○ (재학생·복학생)재학증명서·성적증명서○ (편입생)합격증명서·재학증명서·前학교 성적증명서※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.inje.go.kr","2025-01-06","2025-01-31"
"7 ","우리다문화장학재단","학업장학","기타","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","○ 2025년 기준 중위소득 100% 이하인 가구","○ 500만원(2회 분할 지급)","○ 다문화가족 자녀○ 국내 2·3·4년제 대학교 재학생 및 휴학생○ 현재 학기(2025년 1학기) 포함 졸업까지 3학기 이상 남은 학생○ 매월 1회 이상 대학 장학생 서포터즈 '우리누리'활동에 필수 참여","해당없음","○ 서류평가 및 역량평가○ 면접 또는 전화 인터뷰(필요시)","○ 50명","○ 외국인 및 북한이탈주민 지원불가○ 특기장학과 중복지원 불가능","○ 추천자격에 해당하는 자의 추천 필요○ 추천자격 : 소속대학 총장 및 학과장/다문화 및 사회 복지기관장/지자체 및 주민센터장※ 대학교 행정 실무자 추천 불가","○ 장학생 신청서 및 자기소개서○ 재학증명서○ 성적증명서(신입생 제외)○ 장학생 추천서○ 주민등록등본○ 가족관계증명서○ 다문화 학생임을 입증할 수 있는 서류 1부○ 법정 저소득 증빙서류(해당자)○ 차상위 본인부담경감대상자 증명서(해당자)○ 건강보험자격확인서(해당자)○ 건강보험료 납부확인서(해당자)○ 자원봉사활동 실적확인서(해당자)○ 수상 실적 자료(해당자)※ 자세한 사항은 첨부자료 참고","http://www.woorifoundation.or.kr","2025-03-24","2025-04-18"
"8 ","우리다문화장학재단","특기장학","기타","장학금","특기자","4년제(5~6년제포함)/기술대학/원격대학/일반대학원/전문대(2~3년제)/전문대학원/제한없음/학점은행제 대학/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생/연령제한/제한없음","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","○ 500만원","○ 특기 및 재능 보유 다문화가족 자녀(8~30세: 1996년생~2018년생)○ 예·체능 및 어학 특기자/자격·기술보유자/직업·진로 특기자 등○ 최근 3년 이내에 전국 규모 이상의 대회 입상실적 또는 이에 상응하는 특기 및 재능 관련 실적자료 제출이 가능해야 함○ 학교 재학 여부 관계없음 (졸업생 및 학교 밖 청소년 신청가능)","해당없음","○ 서류평가 및 역량평가○ 면접 또는 전화 인터뷰(필요시)","○ 30명","○ 부모 모두 외국 국적을 가진 가족 및 북한이탈주민 지원불가○ 학업장학과 중복지원 불가능","○ 추천자격에 해당하는 자의 추천 필요○ 추천자격 : 소속대학 학교장 및 총장(지도교수 및 학과장 포함)/다문화 및 사회 복지기관장/지자체 및 주민센터장/특기·재능 관련 전문기관장","○ 장학생 신청서 및 자기소개서○ 재학증명서 또는 재직증명서/졸업증명서 또는 경력증명서○ 장학생 추천서○ 주민등록등본○ 가족관계증명서○ 다문화 학생임을 입증할 수 있는 서류 1부○ 수상 실적 자료 또는 경력 관련 포트폴리오(수상확인서·상장 사본·관련기사 스크랩 등)○ 법정 저소득 증빙서류(해당자)○ 차상위 본인부담경감대상자 증명서(해당자)○ 건강보험자격확인서(해당자)○ 건강보험료 납부확인서(해당자)○ 자원봉사활동 실적확인서(해당자)※ 자세한 사항은 첨부자료 참고","http://www.woorifoundation.or.kr","2025-03-24","2025-04-18"
"9 ","지헌장학재단","삼원지헌장학생","기타","장학금","기타","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","예체능계열","○ 최근1년 평균성적 B+ 이상 (3.5/4.5 이상)","○ 2025년 1학기 기준 한국장학재단 학자금 지원구간 7구간 이내의 학생","○ 100만원※ 생활비(학자금 및 디자인 재료비)로 타 장학금과 이중수혜 가능","○ 4년제 대학교 3~4학년 재학생○ 시각디자인 전공자 및 판화학과 전공","해당없음","○ 1차 서류전형  한국장학재단 학자금 지원구간 통지서  성적증명서 및 공모전 수상내역  자기소개서(학업계획/진로계획 등)○ 2차 면접전형 (필요시)","○ 44명 내외","○ 기업체 학술연수 및 입사 조건부 장학금을 받는 자○ 장학금을 수령한 학기에는 휴학을 할 수 없으며 휴학의 경우 장학금을 반환해야 함","해당없음","○ 장학생 선발원서○ 자기소개 및 학업계획서○ 주민등록등본 또는 가족관계증명서○ 학자금 지원구간 통지서○ 성적증명서○ 통장사본(본인 또는 보호자)○ 개인정보 수집·이용·제공 동의서○ 입상증명서(가점 요인으로 반영)※ 자세한 사항은 첨부자료 참고","http//www.jiheonsf.or.kr","2025-03-04","2025-03-25"
"10 ","풍육장학회","풍육장학생","기타","장학금","기타","4년제(5~6년제포함)/해외대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","○ 성적이 우수한 자","해당없음","※ 기관확인 필요","○ 풍양조씨인 자○ 성적이 우수하고 행실이 바른 정규 4년제 대학 신입생 및 재학생 또는 해외유학생","해당없음","※ 기관확인 필요","○ 00명","○ 1세대 1자녀 원칙○ 타처에서 장학금을 받고 있는 학생은 신청 불가능○ 수능성적 없이 수시전형에 합격한 자는 신청할 수 없음○ 한번 수혜 받은 학생은 재신청 불가○ 전문대/대학원생 제외※ 이 외 자세한 사항은 첨부파일 참고","해당없음","○ 장학금 수혜원서(본회 소정양식) 1통○ 성적증명서 (재적학교 발행)○ 신입생 : 수능시험성적통지표·대학합격통지표 각1통○ 재학생 : 소속대학의 성적증명서·재학증명서 각 1통○ 가족관계증명서 1통○ 기초생활수혜대상자 증명서 (해당자)○ 장애인증명서(해당자)○ 소속학교와 자신에 관한 소개서(해외 유학생의 경우) 1통○ 효행상수상확인서 (해당자)※ 자세한 사항은 첨부파일 참고","http://cafe.naver.com/choscholarship","2025-01-27","2025-02-17"
